-0.499409, -0.698701, -0.643195, -0.607175, 0.279746 
-0.572335, -0.762769, -0.707558, -0.670948, 0.255241 
-0.649395, -0.830086, -0.775170, -0.737969, 0.237821 
-0.729111, -0.899469, -0.845438, -0.807942, 0.213020 
-0.811190, -0.970918, -0.917479, -0.879687, 0.174934 
-0.895335, -1.044139, -0.991290, -0.953499, 0.138618 
-0.980661, -1.118541, -1.066578, -1.028491, 0.117360 
-1.066283, -1.193534, -1.142161, -1.104370, 0.100236 
-1.151314, -1.268232, -1.217744, -1.180543, 0.071597 
-1.235754, -1.342634, -1.293032, -1.256717, 0.039120 
-1.320195, -1.417036, -1.368615, -1.332595, 0.015500 
-1.406112, -1.492619, -1.444789, -1.409950, -0.007234 
-1.493800, -1.569383, -1.522734, -1.489076, -0.042663 
-1.583555, -1.647623, -1.602155, -1.569383, -0.077207 
-1.673605, -1.725864, -1.681872, -1.649985, -0.096398 
-1.762179, -1.802923, -1.760112, -1.729702, -0.110275 
-1.847800, -1.877325, -1.836286, -1.807056, -0.137437 
-1.929289, -1.948775, -1.908621, -1.881163, -0.171095 
-2.006348, -2.016386, -1.977414, -1.951432, -0.205344 
-2.079569, -2.080455, -2.042958, -2.018158, -0.238116 
-2.150428, -2.142752, -2.106436, -2.083112, -0.262327 
-2.219221, -2.203868, -2.168143, -2.146590, -0.279156 
-2.284765, -2.262031, -2.227488, -2.207115, -0.303661 
-2.345881, -2.316652, -2.282994, -2.263803, -0.331709 
-2.402273, -2.367139, -2.334367, -2.316652, -0.352081 
-2.453646, -2.413198, -2.381311, -2.364777, -0.367730 
-2.500295, -2.455418, -2.423826, -2.408769, -0.385444 
-2.542220, -2.493209, -2.462504, -2.448332, -0.401092 
-2.580012, -2.527458, -2.497343, -2.484057, -0.412902 
-2.613965, -2.558459, -2.528639, -2.516238, -0.425598 
-2.643490, -2.585622, -2.556097, -2.543992, -0.438589 
-2.668291, -2.608060, -2.578831, -2.567316, -0.448627 
-2.688072, -2.626070, -2.596841, -2.586212, -0.457189 
-2.702834, -2.639652, -2.610718, -2.600384, -0.463094 
-2.712873, -2.648804, -2.620165, -2.610127, -0.466047 
-2.718482, -2.653823, -2.625185, -2.615441, -0.466637 
-2.719073, -2.654414, -2.625775, -2.616327, -0.465161 
-2.715235, -2.651166, -2.622232, -2.612784, -0.463980 
